Type,SourceIP,PortAllowed,DestinationIP_Allowed
manage,23.237.12.250,46178;80;8000;8080-8090,116.30.195.174;
manage,23.237.12.250,8888,116.30.195.175;
manage,198.255.98.250,*,*
manage,192.240.126.15,*,*
app,23.237.44.98,*,*
cdn,198.255.92.130,*,*
cdn,198.255.106.58,*,*
cdn,23.237.38.74,*,*
cdn,192.240.120.18,*,*
cdn,23.237.8.242,*,*
cdn,198.255.60.66,*,*
cdn,198.16.78.154,*,*
cdn,198.16.72.178,*,*
cdn,23.237.38.210,*,*
cdn,192.240.110.74,*,*
cdn,50.7.180.26,*,*
cdn,118.193.254.68,*,*
